key_										count_		count_wiki	count_multi	count_semi	count_single	
abandoned:name:ru								2		0		0		0		2		
abandoned:name_1								3		0		0		0		2		
abandoned:natural								620		0		0		0		8		
abandoned:network								7		0		0		0		3		
abandoned:note									16		0		0		0		2		
abandoned:note:de								1		0		0		0		1		
abandoned:office								23		0		0		0		8		
abandoned:old_name								30		0		0		0		4		
abandoned:old_railway_operator							6		0		0		0		2		
abandoned:old_ref								4		0		0		1		2		
abandoned:oneway								120		0		0		0		2		
abandoned:opening_hours								9		0		0		6		3		
abandoned:operator								561		0		0		1		59		
abandoned:operator:tax								1		0		0		0		1		
abandoned:organic								1		0		0		0		1		
abandoned:osmc:symbol								1		0		0		0		1		
abandoned:overtaking								3		0		0		0		1		
abandoned:owner									2		0		0		0		2		
abandoned:parish								1		0		0		0		1		
abandoned:parking								6		0		0		0		2		
abandoned:passenger_lines							11		0		0		0		2		
abandoned:pathtype								2		0		0		0		1		
abandoned:payment:cash								1		0		0		0		1		
abandoned:payment:girocard							1		0		0		0		1		
abandoned:phone									6		0		0		0		6		
abandoned:piste									1		0		0		0		1		
abandoned:piste:difficulty							34		0		0		0		5		
abandoned:piste:grooming							7		0		0		0		3		
abandoned:piste:oneway								1		0		0		0		1		
abandoned:piste:trailblazed							7		0		0		0		1		
abandoned:piste:type								177		0		0		0		5		
abandoned:place									1292		1		0		0		13		
abandoned:place_of_worship							1		0		0		0		1		
abandoned:plant:output:electricity						1		0		0		0		1		
abandoned:plant:source								3		0		0		0		3		
abandoned:playground								10		0		0		1		6		
abandoned:power									1806		0		0		0		11		
abandoned:produce								45		0		0		0		1		
abandoned:product								7		0		0		0		7		
abandoned:proposed								5		0		0		0		2		
abandoned:psv									1		0		0		0		1		
abandoned:public_transport							146		0		0		0		3		
abandoned:quarry								16		0		0		0		3		
abandoned:rack									85		0		0		0		4		
abandoned:rail									4		0		0		0		2		
abandoned:railway								53955		0		0		0		61		
abandoned:railway:balastless							17		0		0		0		1		
abandoned:railway:bidirectional							9		0		0		0		1		
abandoned:railway:electrified							28		0		0		0		2		
abandoned:railway:gauge								28		0		0		0		1		
abandoned:railway:left								1		0		0		0		1		
abandoned:railway:lzb								6		0		0		0		1		
abandoned:railway:maximum_current						9		0		0		0		1		
abandoned:railway:preferred_direction						6		0		0		0		2		
abandoned:railway:pzb								15		0		0		0		2		
abandoned:railway:radio								9		0		0		0		1		
abandoned:railway:rail								1		0		0		0		1		
abandoned:railway:ref								4		0		0		0		4		
abandoned:railway:signal_box							3		0		0		0		2		
abandoned:railway:tracks							15		0		0		0		1		
abandoned:railway:track_class							9		0		0		0		1		
abandoned:railway:track_ref							1		0		0		0		1		
abandoned:railway:traffic_mode							23		0		0		0		2		
abandoned:railway:usage								16		0		0		0		2		
abandoned:ramp									3		0		0		0		1		
abandoned:recycling:green_waste							1		0		0		0		1		
abandoned:recycling_type							1		0		0		0		1		
abandoned:ref									1787		0		0		4		305		
abandoned:ref:ifopt								9		0		0		0		9		
abandoned:reg_ref								1		0		0		0		1		
abandoned:religion								18		0		0		0		3		
abandoned:rental								1		0		0		1		0		
abandoned:reporting_marks							1		0		0		0		1		
abandoned:reservoir_type							4		0		0		0		2		
abandoned:resort								9		0		0		0		4		
abandoned:resource								23		0		0		0		9		
abandoned:restaurant								2		0		0		0		2		
abandoned:roof:colour								2		0		0		0		1		
abandoned:roof:shape								3		0		0		0		2		
abandoned:room									1		0		0		0		1		
abandoned:route									21		0		0		0		2		
abandoned:runway								1		0		0		0		1		
abandoned:sac_scale								17		0		0		0		3		
abandoned:sauna									1		0		0		0		1		
abandoned:school								4		0		0		0		2		
abandoned:second_hand								1		0		0		0		1		
abandoned:service								366		0		0		0		11		
abandoned:shelter								2		0		0		0		2		
abandoned:shelter_type								8		0		0		0		4		
abandoned:shop									253		0		0		0		47		
abandoned:short_name								2		0		0		0		2		
abandoned:sidewalk								1		0		0		0		1		
abandoned:ski									1		0		0		0		1		
abandoned:smoking								1		0		0		0		1		
abandoned:smoothness								18		0		0		0		7		
