key_								count_		count_wiki	count_multi	count_semi	count_single	
addr:althousenumber						1		0		0		0		1		
addr:alt_city							94		0		0		0		2		
addr:alt_housename						10		0		0		0		10		
addr:alt_housenumber						6		0		0		0		6		
addr:alt_street							828		0		0		0		32		
addr:apartment							3		0		0		0		3		
addr:apartments							2		0		0		0		2		
addr:approximate						48		0		0		0		1		
addr:area							6		0		0		0		6		
addr:associatedstreet						4		0		0		0		1		
addr:barangay							222		0		0		0		79		
addr:block							85460		0		0		144		4754		
addr:block:en							68251		0		0		1		1264		
addr:block_number						17684		0		0		0		2543		
addr:block_number:en						6		0		0		0		1		
addr:block_number:ja						1		0		0		0		1		
addr:borough							39		0		0		0		17		
addr:borough:en							6		0		0		0		2		
addr:borough:zh							6		0		0		0		2		
addr:boxnumber							1		0		0		0		1		
addr:branch							1		0		0		0		1		
addr:brgy							6		0		0		0		3		
addr:building							158		0		0		0		70		
addr:building-promoter						1		0		0		0		1		
addr:building:en						14		0		0		0		13		
addr:building:zh						14		0		0		0		12		
addr:buildingname						1		0		0		0		1		
addr:buildingnumber						2		0		0		0		2		
addr:building_number						1		0		0		0		1		
addr:building_promoter						1		0		0		0		1		
addr:built							1		0		0		0		1		
addr:bus							3		0		0		0		2		
addr:canton							33		0		0		0		3		
addr:care_of							1		0		0		0		1		
addr:checked							19		0		0		0		1		
addr:chiefdom							28		0		0		0		2		
addr:city							37768859	0		2		101		180423		
addr:city:alternate						1		0		0		0		1		
addr:city:ar							10729		0		0		0		596		
addr:city:arc							5		0		0		0		3		
addr:city:az							1		0		0		0		1		
addr:city:ber							116		0		0		0		1		
addr:city:bn							7		0		0		0		1		
addr:city:br							1		0		0		0		1		
addr:city:ca							137		0		0		0		5		
addr:city:cim							1		0		0		0		1		
addr:city:de							112398		0		0		0		172		
addr:city:el							5		0		0		0		2		
addr:city:en							506718		0		0		0		185		
addr:city:es							202		0		0		0		9		
addr:city:fa							84		0		0		0		9		
addr:city:fi							3		0		0		0		3		
addr:city:fr							4155		0		0		0		13		
addr:city:fur							1		0		0		0		1		
addr:city:ga							27		0		0		0		7		
addr:city:he							6		0		0		0		4		
addr:city:hr							1		0		0		0		1		
addr:city:hsb							31		0		0		0		2		
addr:city:hu							3		0		0		0		2		
addr:city:it							112596		0		0		0		173		
addr:city:ja							2		0		0		0		1		
addr:city:ja_kana						1		0		0		0		1		
addr:city:ja_rm							2		0		0		0		2		
addr:city:ka							3		0		0		0		3		
addr:city:ko-latn						3		0		0		0		1		
addr:city:ks							1910		0		0		0		3		
addr:city:lld							8659		0		0		0		13		
addr:city:mhn							2		0		0		0		1		
addr:city:nl							4026		0		0		0		3		
addr:city:oc							15		0		0		0		14		
addr:city:on_receipt						1		0		0		0		1		
addr:city:pl							4		0		0		0		4		
addr:city:pnb							1918		0		0		0		6		
addr:city:ps							1921		0		0		0		6		
addr:city:ru							17		0		0		0		6		
addr:city:sc							184		0		0		0		9		
addr:city:scn							2		0		0		0		1		
addr:city:sd							1913		0		0		0		3		
addr:city:simc							1947660		0		0		0		37935		
addr:city:sl							1		0		0		0		1		
addr:city:source						4		0		0		0		1		
addr:city:sr-latn						2		0		0		0		1		
addr:city:sv							37		0		0		0		7		
addr:city:syc							5		0		0		0		3		
addr:city:ta							14		0		0		0		8		
addr:city:ti							15		0		0		0		8		
addr:city:uk							2		0		0		0		2		
addr:city:ur							1950		0		0		0		10		
addr:city:uz-cyr						18		0		0		0		4		
addr:city:wikidata						6		0		0		0		2		
addr:city:zh							118		0		0		0		18		
addr:city_1							87		0		0		0		67		
addr:city_2							6		0		0		0		6		
addr:city_3							1		0		0		0		1		
addr:city_block							4		0		0		0		4		
addr:city_parent						5		0		0		0		1		
addr:colonia							1		0		0		0		1		
addr:comment							72		0		0		9		26		
addr:commune							2		0		0		0		1		
addr:community							7397		0		0		0		44		
addr:complement							1		0		0		0		1		
addr:complex							50		0		0		0		4		
addr:condominum							1		0		0		0		1		
addr:conscriptionnumber						2676689		0		0		51		13863		
addr:conscriptionnumber_old					4		0		0		0		3		
addr:constituency						29		0		0		0		1		
addr:contact							5868		0		0		1		3		
addr:country							14158040	1		0		0		216		
addr:country:cn							1		0		0		0		1		
addr:country:en							2		0		0		0		1		
addr:country:ir							1		0		0		0		1		
addr:country:jp							4		0		0		0		4		
addr:country:source						3		0		0		0		1		
addr:country:ta							3		0		0		0		1		
addr:country_code						42		0		0		0		2		
addr:country_national_code					41		0		0		0		4		
addr:county							98244		0		0		0		741		
addr:county:en							1		0		0		0		1		
addr:cross_street						18		0		0		0		5		
addr:cruce							1		0		0		0		1		
addr:department							5		0		0		0		3		
addr:descr							1		0		0		0		1		
addr:description						145		0		0		2		112		
addr:description:am						31		0		0		0		25		
addr:description:ar						15		0		0		0		11		
addr:description:en						1		0		0		0		1		
addr:description:zh						1		0		0		0		1		
addr:direction							77		0		0		0		5		
addr:distance							1		0		0		0		1		
addr:district							3071998		0		1		2		9580		
addr:district:ar						10		0		0		0		3		
addr:district:be						2		0		0		0		2		
addr:district:bn						1		0		0		0		1		
addr:district:en						2450145		0		0		0		663		
